0	0
-0.0349965	-0.0251753
-0.0349965	-0.0251753
0.405187	-0.0269932
0.625195	-0.0311411
0.764545	0.0523614
1.29722	0.28815
1.8281	0.529985
2.27664	0.733778
2.47206	0.741748
2.98016	0.842382
3.55725	0.950893
4.14095	1.05696
4.72957	1.15424
5.30262	1.25395
5.84339	1.33896
6.52375	1.44431
7.04325	1.5266
7.09816	1.46469
7.88683	1.27001
8.29233	1.18846
8.39151	1.14641
9.07744	0.931068
9.67905	0.563451
9.90043	0.201923
10.182	-0.120135
10.3754	-0.492484
10.5337	-0.806174
10.8447	-0.822449
11.6384	-0.966498
11.8336	-0.928704
11.9116	-0.862765
12.5672	-0.933622
13.2095	-1.01523
13.8819	-1.08975
14.8031	-1.21729
15.5754	-1.32451
16.171	-1.3659
16.6502	-1.40254
17.053	-1.4226
17.5838	-1.46041
17.8916	-1.27698
18.4561	-1.04758
19.0101	-0.84303
19.6412	-0.638138
20.1558	-0.454705
20.8286	-0.234973
21.3274	-0.0467445
21.3947	0.00384476
21.5278	0.219019
21.576	0.25608
21.5839	0.25286
21.584	0.252814
21.584	0.252814
21.584	0.252814
