[1659.03]	6.44002	6.01097	0.851558
[1659.03]	6.52062	6.01156	0.687737
[1659.03]	6.51418	6.01151	0.701579
[1659.03]	6.50768	6.01146	0.715387
[1659.03]	6.50114	6.01141	0.729161
[1659.03]	6.49454	6.01136	0.742901
[1659.03]	6.4879	6.01131	0.756606
[1659.03]	6.4812	6.01126	0.770276
[1659.03]	6.47446	6.01121	0.783911
[1659.03]	6.46766	6.01117	0.797511
[1659.03]	6.46082	6.01112	0.811076
[1659.03]	6.45394	6.01107	0.824606
[1659.03]	6.447	6.01102	0.8381
[1659.03]	6.43299	6.01092	0.864981
[1659.03]	6.42592	6.01087	0.878368
[1659.03]	6.4188	6.01082	0.891718
[1659.03]	6.41164	6.01078	0.905032
[1659.03]	6.40443	6.01073	0.91831
[1659.03]	6.39718	6.01068	0.931551
[1659.03]	6.38988	6.01063	0.944755
[1659.03]	6.38254	6.01059	0.957923
[1659.03]	6.37516	6.01054	0.971053
[1659.03]	6.36774	6.0105	0.984146
[1659.03]	6.36028	6.01045	0.997202
[1659.03]	6.35277	6.0104	1.01022
[1659.03]	6.34523	6.01036	1.0232
[1659.03]	6.35295	6.00872	0.311445
[1659.03]	6.44831	6.0099	0.229292
[1659.03]	6.43614	6.00975	0.239499
[1659.03]	6.42404	6.0096	0.249723
[1659.03]	6.41202	6.00945	0.259965
[1659.03]	6.40006	6.0093	0.270225
[1659.03]	6.38818	6.00915	0.280503
[1659.03]	6.37637	6.00901	0.290799
[1659.03]	6.36462	6.00886	0.301113
[1659.03]	6.46055	6.01006	0.219104
[1659.03]	6.34134	6.00858	0.321795
[1659.03]	6.47287	6.01021	0.208934
[1659.03]	6.48526	6.01037	0.198781
[1659.03]	6.49772	6.01053	0.188646
[1659.03]	6.51026	6.01069	0.178529
[1659.03]	6.40589	6.00865	0.453833
[1659.03]	6.34373	6.00796	0.521851
[1659.03]	6.35416	6.00807	0.510652
[1659.03]	6.36457	6.00819	0.499398
[1659.03]	6.37494	6.0083	0.488089
[1659.03]	6.38529	6.00842	0.476726
[1659.03]	6.39561	6.00853	0.465307
[1659.03]	6.41615	6.00876	0.442304
[1659.03]	6.42637	6.00888	0.430719
[1659.03]	6.43657	6.009	0.419079
[1659.03]	6.44673	6.00911	0.407384
[1659.03]	6.45686	6.00923	0.395634
[1659.03]	6.46696	6.00935	0.383828
[1659.03]	6.47702	6.00947	0.371967
[1659.03]	6.48706	6.00958	0.360051
[1659.03]	6.51695	6.00994	0.323968
[1659.03]	6.50702	6.00982	0.336051
[1659.03]	6.49706	6.0097	0.348078
[1659.03]	6.33764	6.01018	0.695572
[1659.03]	6.34396	6.01022	0.681995
[1659.03]	6.35034	6.01027	0.668432
